Theme Pair,Theme A,Theme B,Number of Job Postings,% Jobs
"Product, Project, and Professional Skills + Software Engineering and Architecture","Product, Project, and Professional Skills",Software Engineering and Architecture,3136,93.1
"Application and Web Development + Product, Project, and Professional Skills",Application and Web Development,"Product, Project, and Professional Skills",2647,78.6
Application and Web Development + Software Engineering and Architecture,Application and Web Development,Software Engineering and Architecture,2629,78.0
"Cloud, DevOps, and Security + Product, Project, and Professional Skills","Cloud, DevOps, and Security","Product, Project, and Professional Skills",2548,75.6
"Cloud, DevOps, and Security + Software Engineering and Architecture","Cloud, DevOps, and Security",Software Engineering and Architecture,2531,75.1
"Data, AI, and Analytics + Product, Project, and Professional Skills","Data, AI, and Analytics","Product, Project, and Professional Skills",2286,67.9
"Data, AI, and Analytics + Software Engineering and Architecture","Data, AI, and Analytics",Software Engineering and Architecture,2281,67.7
"Application and Web Development + Cloud, DevOps, and Security",Application and Web Development,"Cloud, DevOps, and Security",2203,65.4
"Application and Web Development + Data, AI, and Analytics",Application and Web Development,"Data, AI, and Analytics",2035,60.4
"Cloud, DevOps, and Security + Data, AI, and Analytics","Cloud, DevOps, and Security","Data, AI, and Analytics",1942,57.6
"Infrastructure, Systems, and Reliability + Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability","Product, Project, and Professional Skills",1689,50.1
"Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Infrastructure, Systems, and Reliability",Software Engineering and Architecture,1667,49.5
"Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",1450,43.0
"Application and Web Development + Infrastructure, Systems, and Reliability",Application and Web Development,"Infrastructure, Systems, and Reliability",1344,39.9
"Data, AI, and Analytics + Infrastructure, Systems, and Reliability","Data, AI, and Analytics","Infrastructure, Systems, and Reliability",1234,36.6
