Tooling Category,Jobs,Pct Jobs,Count / % Jobs,Representative Codes,Example Evidence,Representative Tools
Testing tools / QA automation,2009,59.6,"2,009 / 59.6%","quality assurance, unit testing, automated testing, integration testing, test automation",“review the tasks assigned to developers to see the changes are done with quality”,"Selenium, JUnit, pytest, unit testing, integration testing"
CI/CD,1872,55.6,"1,872 / 55.6%","CI/CD pipelines, CI/CD, continuous integration, Jenkins, GitHub Actions",“Kubernetes).Experience with CI/CD pipelines.Knowledge of low level hardware communication protocols (i2c”,"Jenkins, GitHub Actions, GitLab CI, Buildkite, ArgoCD"
Frontend frameworks / web stack,1616,48.0,"1,616 / 48.0%","React, TypeScript, web applications, CSS, JavaScript frameworks",“What You’ll Need:  Experience: 7+ years of hands-on backend engineering experience using React”,"React, Angular, Vue, TypeScript, HTML, CSS, Node.js"
Databases,1572,46.7,"1,572 / 46.7%","SQL, PostgreSQL, NoSQL databases, MySQL, database management",“relational database (Oracle /DB2/SQL)”,"SQL, PostgreSQL, MySQL, MongoDB, Redis, DynamoDB, Snowflake"
Security / Identity tools,1514,44.9,"1,514 / 44.9%","security, security best practices, authentication, information security, security knowledge","“The ideal candidate will be responsible for designing, implementing, and maintaining robust and scalable middleware solutions, ensuring high availability, performance, and security.”","IAM, OAuth, SSO, authentication, encryption"
Cloud platforms,1503,44.6,"1,503 / 44.6%","AWS, Azure, cloud computing, Google Cloud Platform, cloud services","“Technologies You’ll Use  Kubernetes, PostgresSQL, ArgoCD, Terraform, Ansible, Python, Go, Java, AWS, GCp, Azure, Grafana, Buildkite, Temporal etc.”","AWS, Azure, GCP / Google Cloud"
AI / Data tools,1445,42.9,"1,445 / 42.9%","data analysis, machine learning, artificial intelligence, PyTorch, Power BI",“test systems Monitors performance of programs after implementation Analyzes”,"TensorFlow, PyTorch, Spark, Hadoop, Databricks, Tableau, Power BI"
Infrastructure as Code / Automation,1282,38.1,"1,282 / 38.1%","automation, Terraform, test automation, scripting, infrastructure as code",“automation/process improvement projectsKey member of our Identity Access Management technology teamActively participate in project planning”,"Terraform, Ansible, Bash, PowerShell"
Version control,1061,31.5,"1,061 / 31.5%","version control, Git, GitHub, GitLab, Git version control","“Ability to work independently and as part of a team.Experience with version control systems (e.g., Git).”","Git, GitHub, GitLab, Bitbucket"
Monitoring / Observability,974,28.9,974 / 28.9%,"monitoring, observability, system monitoring, IT system monitoring, performance monitoring",“monitoringYou are comfortable navigating”,"Grafana, Prometheus, Datadog, Splunk, New Relic"
Containers / Orchestration,881,26.2,881 / 26.2%,"Kubernetes, Docker, containerization, container orchestration, orchestration",“K8s preferred).Experience working with multiple programming languages.Experience working with time series data”,"Docker, Kubernetes, Helm"
